rule_key,module,family,language,title,severity,finding_kind,source_of_truth,pack_display_name,bootstrap_resource,active
guardian.1password-secret-key,guardian,1password-secret-key,,1password Secret Key,CRITICAL,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.1password-service-account-token,guardian,1password-service-account-token,,1password Service Account Token,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.adafruit-api-key,guardian,adafruit-api-key,,Adafruit API Key,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.adobe-client-id,guardian,adobe-client-id,,Adobe Client ID,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.adobe-client-secret,guardian,adobe-client-secret,,Adobe Client Secret,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.age-secret-key,guardian,age-secret-key,,Age Secret Key,CRITICAL,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.airtable-api-key,guardian,airtable-api-key,,Airtable API Key,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.airtable-personnal-access-token,guardian,airtable-personnal-access-token,,Airtable Personnal Access Token,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.algolia-api-key,guardian,algolia-api-key,,Algolia API Key,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.alibaba-access-key-id,guardian,alibaba-access-key-id,,Alibaba Access Key ID,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.alibaba-secret-key,guardian,alibaba-secret-key,,Alibaba Secret Key,CRITICAL,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.anthropic-admin-api-key,guardian,anthropic-admin-api-key,,Anthropic Admin API Key,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.anthropic-api-key,guardian,anthropic-api-key,,Anthropic API Key,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.artifactory-api-key,guardian,artifactory-api-key,,Artifactory API Key,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.artifactory-reference-token,guardian,artifactory-reference-token,,Artifactory Reference Token,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.asana-client-id,guardian,asana-client-id,,Asana Client ID,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.asana-client-secret,guardian,asana-client-secret,,Asana Client Secret,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.atlassian-api-token,guardian,atlassian-api-token,,Atlassian API Token,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.authress-service-client-access-key,guardian,authress-service-client-access-key,,Authress Service Client Access Key,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.aws-access-key,guardian,aws-access-key,,AWS Access Key ID,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.aws-access-token,guardian,aws-access-token,,AWS Access Token,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.aws-amazon-bedrock-api-key-long-lived,guardian,aws-amazon-bedrock-api-key-long-lived,,AWS Amazon Bedrock API Key Long Lived,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.aws-amazon-bedrock-api-key-short-lived,guardian,aws-amazon-bedrock-api-key-short-lived,,AWS Amazon Bedrock API Key Short Lived,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.aws-secret-key,guardian,aws-secret-key,,AWS Secret Access Key,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.azure-ad-client-secret,guardian,azure-ad-client-secret,,Azure Ad Client Secret,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.beamer-api-token,guardian,beamer-api-token,,Beamer API Token,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.bitbucket-client-id,guardian,bitbucket-client-id,,Bitbucket Client ID,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.bitbucket-client-secret,guardian,bitbucket-client-secret,,Bitbucket Client Secret,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.bittrex-access-key,guardian,bittrex-access-key,,Bittrex Access Key,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.bittrex-secret-key,guardian,bittrex-secret-key,,Bittrex Secret Key,CRITICAL,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.cisco-meraki-api-key,guardian,cisco-meraki-api-key,,Cisco Meraki API Key,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.clickhouse-cloud-api-secret-key,guardian,clickhouse-cloud-api-secret-key,,Clickhouse Cloud API Secret Key,CRITICAL,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.clojars-api-token,guardian,clojars-api-token,,Clojars API Token,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.cloudflare-api-key,guardian,cloudflare-api-key,,Cloudflare API Key,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.cloudflare-global-api-key,guardian,cloudflare-global-api-key,,Cloudflare Global API Key,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.cloudflare-origin-ca-key,guardian,cloudflare-origin-ca-key,,Cloudflare Origin Ca Key,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.codecov-access-token,guardian,codecov-access-token,,Codecov Access Token,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.cohere-api-token,guardian,cohere-api-token,,Cohere API Token,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.coinbase-access-token,guardian,coinbase-access-token,,Coinbase Access Token,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.confluent-access-token,guardian,confluent-access-token,,Confluent Access Token,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.confluent-secret-key,guardian,confluent-secret-key,,Confluent Secret Key,CRITICAL,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.contentful-delivery-api-token,guardian,contentful-delivery-api-token,,Contentful Delivery API Token,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.curl-auth-header,guardian,curl-auth-header,,Curl Auth Header,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.curl-auth-user,guardian,curl-auth-user,,Curl Auth User,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.databricks-api-token,guardian,databricks-api-token,,Databricks API Token,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.datadog-access-token,guardian,datadog-access-token,,Datadog Access Token,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.defined-networking-api-token,guardian,defined-networking-api-token,,Defined Networking API Token,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.digitalocean-access-token,guardian,digitalocean-access-token,,Digitalocean Access Token,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.digitalocean-pat,guardian,digitalocean-pat,,Digitalocean Pat,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.digitalocean-refresh-token,guardian,digitalocean-refresh-token,,Digitalocean Refresh Token,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.discord-api-token,guardian,discord-api-token,,Discord API Token,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.discord-client-id,guardian,discord-client-id,,Discord Client ID,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.discord-client-secret,guardian,discord-client-secret,,Discord Client Secret,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.doppler-api-token,guardian,doppler-api-token,,Doppler API Token,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.droneci-access-token,guardian,droneci-access-token,,Droneci Access Token,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.dropbox-api-token,guardian,dropbox-api-token,,Dropbox API Token,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.dropbox-long-lived-api-token,guardian,dropbox-long-lived-api-token,,Dropbox Long Lived API Token,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.dropbox-short-lived-api-token,guardian,dropbox-short-lived-api-token,,Dropbox Short Lived API Token,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.duffel-api-token,guardian,duffel-api-token,,Duffel API Token,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.dynatrace-api-token,guardian,dynatrace-api-token,,Dynatrace API Token,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.easypost-api-token,guardian,easypost-api-token,,Easypost API Token,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.easypost-test-api-token,guardian,easypost-test-api-token,,Easypost Test API Token,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.etsy-access-token,guardian,etsy-access-token,,Etsy Access Token,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.facebook-access-token,guardian,facebook-access-token,,Facebook Access Token,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.facebook-page-access-token,guardian,facebook-page-access-token,,Facebook Page Access Token,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.facebook-secret,guardian,facebook-secret,,Facebook Secret,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.fastly-api-token,guardian,fastly-api-token,,Fastly API Token,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.finicity-api-token,guardian,finicity-api-token,,Finicity API Token,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.finicity-client-secret,guardian,finicity-client-secret,,Finicity Client Secret,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.finnhub-access-token,guardian,finnhub-access-token,,Finnhub Access Token,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.flickr-access-token,guardian,flickr-access-token,,Flickr Access Token,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.flutterwave-encryption-key,guardian,flutterwave-encryption-key,,Flutterwave Encryption Key,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.flutterwave-public-key,guardian,flutterwave-public-key,,Flutterwave Public Key,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.flutterwave-secret-key,guardian,flutterwave-secret-key,,Flutterwave Secret Key,CRITICAL,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.flyio-access-token,guardian,flyio-access-token,,Flyio Access Token,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.frameio-api-token,guardian,frameio-api-token,,Frameio API Token,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.freemius-secret-key,guardian,freemius-secret-key,,Freemius Secret Key,CRITICAL,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.freshbooks-access-token,guardian,freshbooks-access-token,,Freshbooks Access Token,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.gcp-api-key,guardian,gcp-api-key,,GCP API Key,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.generic-api-key,guardian,generic-api-key,,Generic API Key,MEDIUM,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.generic-secret,guardian,generic-secret,,Generic API Secret,MEDIUM,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.github-app-token,guardian,github-app-token,,Github App Token,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.github-fine-grained-pat,guardian,github-fine-grained-pat,,Github Fine Grained Pat,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.github-oauth,guardian,github-oauth,,Github OAUTH,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.github-pat,guardian,github-pat,,Github Pat,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.github-refresh-token,guardian,github-refresh-token,,Github Refresh Token,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.gitlab-cicd-job-token,guardian,gitlab-cicd-job-token,,Gitlab Cicd Job Token,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.gitlab-deploy-token,guardian,gitlab-deploy-token,,Gitlab Deploy Token,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.gitlab-feature-flag-client-token,guardian,gitlab-feature-flag-client-token,,Gitlab Feature Flag Client Token,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.gitlab-feed-token,guardian,gitlab-feed-token,,Gitlab Feed Token,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.gitlab-incoming-mail-token,guardian,gitlab-incoming-mail-token,,Gitlab Incoming Mail Token,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.gitlab-kubernetes-agent-token,guardian,gitlab-kubernetes-agent-token,,Gitlab Kubernetes Agent Token,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.gitlab-oauth-app-secret,guardian,gitlab-oauth-app-secret,,Gitlab OAUTH App Secret,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.gitlab-pat,guardian,gitlab-pat,,Gitlab Pat,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.gitlab-pat-routable,guardian,gitlab-pat-routable,,Gitlab Pat Routable,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.gitlab-ptt,guardian,gitlab-ptt,,Gitlab Ptt,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.gitlab-rrt,guardian,gitlab-rrt,,Gitlab Rrt,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.gitlab-runner-authentication-token,guardian,gitlab-runner-authentication-token,,Gitlab Runner Authentication Token,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.gitlab-runner-authentication-token-routable,guardian,gitlab-runner-authentication-token-routable,,Gitlab Runner Authentication Token Routable,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.gitlab-scim-token,guardian,gitlab-scim-token,,Gitlab Scim Token,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.gitlab-session-cookie,guardian,gitlab-session-cookie,,Gitlab Session Cookie,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.gitter-access-token,guardian,gitter-access-token,,Gitter Access Token,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.gocardless-api-token,guardian,gocardless-api-token,,Gocardless API Token,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.grafana-api-key,guardian,grafana-api-key,,Grafana API Key,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.grafana-cloud-api-token,guardian,grafana-cloud-api-token,,Grafana Cloud API Token,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.grafana-service-account-token,guardian,grafana-service-account-token,,Grafana Service Account Token,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.harness-api-key,guardian,harness-api-key,,Harness API Key,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.hashicorp-tf-api-token,guardian,hashicorp-tf-api-token,,Hashicorp Tf API Token,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.hashicorp-tf-password,guardian,hashicorp-tf-password,,Hashicorp Tf Password,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.heroku-api-key,guardian,heroku-api-key,,Heroku API Key,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
guardian.heroku-api-key-v2,guardian,heroku-api-key-v2,,Heroku API Key V2,HIGH,SECRET,runtime-db:rule_definitions@active rule_pack_versions,Guardian Secret Detection,classpath:rules/guardian.yml,true
